Depertment ,Question,Answer,Explanation,source
Thrombotic Disorders,"A healthy 17-year-old African American male presents with a thrombosis of the right upper
extremity. His past medical history is remarkable only for sickle cell trait. The history is
negative for recent risk factors for thrombosis (illness, surgery, immobility). He is the pitcher
for his high school baseball team. Imaging confirms anatomical compression/narrowing of
the right subclavian vein.
Which of the following interventions is most likely to decrease this patient’s long-term risk
of recurrent thrombosis?
A. Systemic thrombolysis
B. Catheter-directed thrombolysis
C. Extended 12-month course of anticoagulation with low-molecular-weight heparin
(LMWH)
D. Resection of right first rib
E. Use of compression sleeve during baseball practices and games",D. Resection of right first rib,"Although thrombolysis may reduce the risk of post-thrombotic syndrome, there is not evidence
that it decreases the risk of recurrent venous thromboembolism (VTE). Likewise, there is also
not evidence that 12 versus 3 to 6 months of anticoagulation would reduce risk of long-term
recurrence. This patient has an anatomic abnormality (thoracic outlet syndrome) and will
continue to be at risk of VTE recurrence unless the abnormality is surgically corrected. Use of a
compression sleeve can help alleviate symptoms of post-thrombotic syndrome and improve
circulation during activity but will not reduce risk of",100mcq's
Thrombotic Disorders,"A 16-year-old female presents to the emergency room with a new complaint of chest pain.
When performing a review of systems and physical examination, which of the following
would substantially decrease your suspicion for a diagnosis of pulmonary embolism?
A. Cough
B. Fever
C. Rib tenderness
D. Shortness of breath
E. Normal pulse oximetry",C. Rib tenderness,"Shortness of breath and chest pain are the most common symptoms of pulmonary embolism.
Cough and/or fever would make you suspect infection more but are also seen in pulmonary
embolism, so the diagnosis would still need to be considered in the differential. Hypoxia can be
seen in patients with pulmonary embolism, but most patients will have normal oxygen
saturations. Point tenderness of the costal cartilages is highly suggestive of costochondritis,
which is one of the most common causes of chest pain in teenagers.",100mcq's
Thrombotic Disorders,"The pathophysiology of venous thrombosis is often explained by Virchow’s triad, which
includes hypercoagulability, endothelial injury, and venous stasis. Based on Virchow’s triad
and your knowledge of risk factors for thrombosis, which of the following pediatric patients
has the greatest risk of hospital-acquired venous thromboembolism?
A. 3-day-old full-term infant admitted to hospital pediatrics for hyperbilirubinemia
B. 6-month-old male admitted to the infectious disease unit for respiratory syncytial virus
C. Ex-28 week premature infant, requiring NICU-level care for necrotizing enterocolitis
D. 7-year-old male with acute lymphoblastic leukemia receiving maintenance chemotherapy
admitted to hematology/oncology unit for fever and neutropenia
E. 17-year-old male admitted to the ENT unit for postoperative bleeding and dehydration
after recent tonsillectomy","C. Ex-28 week premature infant, requiring NICU-level care for necrotizing enterocolitis","Premature infants have among the highest rates of venous thromboembolism (VTE). This patient
requires intensive care and would have a central line in place as well as inflammation. The other
patients do not requiring critical care, and the patients described in options A, B, and E would
not have a central line in place, which is the most important risk factor for VTE in pediatrics.
The patient described in option D does likely have a central line, but cancer would be in
remission at this point, he is not critically ill, and he would not be receiving asparaginase while
in maintenance phases of chemotherapy.",100mcq's
Nutritional Anemias,"Which of the following best characterizes the function of ferroportin in iron metabolism?
A. A form of storage iron in intestinal mucosal cells
B. A transport protein in the plasma
C. A receptor protein on the surface of erythroid progenitors
D. Transmembrane iron exporter
E. A form of storage iron in hepatic cells",D. Transmembrane iron exporter,"Ferroportin is the only known iron exporter and is found predominantly, though not exclusively,
on enterocytes and reticuloendothelial macrophages. Iron is stored in the tissues as ferritin or
hemosiderin, so options A and E are incorrect. Transferrin (option B) binds and transports two
atoms of ferric iron (Fe+++) from the intestinal mucosal cell or other sites to erythroid marrow,
where it binds to membrane-bound transferrin receptors (option C).",100mcq's
Nutritional Anemias,"A 20-month-old otherwise healthy male presents late for his 18-month well child check.
During his first year of life, he took iron-fortified formula and had a point-of-care
hemoglobin (Hgb) of 12 g/dL at his 1-year well child check. His mother reports that he is a
picky eater but loves milk and has recently become obsessive about chewing the corners of
his cardboard books. Physical examination is normal except for a flow murmur. Which
combination of laboratory test results listed below would most likely characterize this
patient?
A. Hgb 8.7 g/dL, mean corpuscular volume (MCV) 60 fL, serum ferritin 2 ng/mL
B. Hgb 12.0 g/dL, MCV 80 fL, serum ferritin 30 ng/mL
C. Hgb 9.2 g/dL, MCV 60 fL, serum ferritin 30 ng/mL
D. Hgb 11.2 g/dL, MCV 90 fL, serum ferritin 7 ng/mL
E. Hgb 9.8 g/dL, MCV 68 fL, serum ferritin 50 ng/mL","A. Hgb 8.7 g/dL, mean corpuscular volume (MCV) 60 fL, serum ferritin 2 ng/mL","Young children who drink excessive cow’s milk are at risk for nutritional iron deficiency
anemia. In children who previously received iron-fortified formula, the risk is highest during the
second year of life after transition to cow’s milk. Iron stores initially become depleted, followed
by iron-deficient erythropoiesis and finally frank anemia. Children with iron-deficiency anemia
have low serum ferritin, therefore options B, C, and E are incorrect. Iron-deficiency anemia
results in a microcytic anemia (low mean corpuscular volume), so answer D is incorrect.",100mcq's
Nutritional Anemias,"Assuming that adherence has been excellent, which of the following should have returned to
normal 6 weeks following appropriate oral iron treatment for a child with severe dietary iron
deficiency (hemoglobin [Hgb] 5.0 g/dL and mean corpuscular volume [MCV] 48 fL at the
beginning of therapy)?
A. Hgb concentration
B. MCV
C. Red cell distribution width
D. Peripheral blood smear
E. Serum ferritin",A. Hgb concentration,"In uncomplicated nutritional iron deficiency, the hemoglobin (Hgb) concentration (option A)
virtually always returns to the normal range within 6 weeks. The rate of Hgb rise often is quite
dramatic. The mean corpuscular volume (MCV; option B) takes 3 months or so to return to
73
normal. The red cell distribution width (RDW; option C) actually increases for the first 8 weeks
following iron treatment as a result of a young population of large, well-hemoglobinized
erythrocytes accompanying the older hypochromic microcytic cells from the iron-deficient state.
The peripheral blood film (option D), like the RDW and MCV, does not return to normal for 2 to
3 months. Serum ferritin (option E) is the last parameter to normalize.",100mcq's
Nutritional Anemias,"Iron-refractory iron deficiency anemia (IRIDA) is a rare inherited condition characterized by
congenital iron deficiency anemia, poor response to oral iron, and partial but incomplete
response to intravenous iron therapy. Which is the genetic mutation associated with IRIDA?
A. TFR2
B. H63D
C. TMPRSS6
D. EPOR
E. C282Y",C. TMPRSS6,"In patients with IRIDA, mutations in TMPRSS6 (option C) disrupt the “iron sensor” and result in
inappropriately high levels of hepcidin, even in iron deficiency. The constitutively elevated
hepcidin results in iron-restricted erythropoiesis by impaired release of iron into the plasma from
both duodenal enterocytes and RE macrophages. Hepcidin exerts its effect on these cells by
binding and degrading ferroportin, the only known cellular iron exporter; therefore, there is no
“pump” to bring iron into the plasma, where it is then bound to transferrin. TFR2, H63D, and
C282Y (options A, B, and E) are all mutations that result in hereditary hemochromatosis. EPOR
(option D) is a mutation of the erythropoietin receptor that results in primary erythrocytosis.",100mcq's
Sarcomas,"You are caring for a patient with a large localized Ewing sarcoma of the soft tissues of the
arm. The surgeon believes that the tumor can be resected without amputation but asks
whether you can give some chemotherapy to shrink the tumor before surgery.
Which of the following would you tell the surgeon?
A. If the tumor can be resected without amputation, then the best time to do the resection is
before any chemotherapy to improve the prognosis.
B. You agree with waiting to do the resection until week 12 of therapy and will begin
chemotherapy; you recognize that radiotherapy will not be necessary if the tumor is
completely resected at week 12 of therapy.
C. You agree with waiting to do the resection until week 12 of therapy and will begin
chemotherapy; you recognize that radiotherapy will be necessary even if the tumor is
completely resected at week 12 of therapy.
D. If the tumor can be resected without amputation, then the best time to do the resection is
before any chemotherapy; you recognize that this is the only way to avoid radiotherapy.","B. You agree with waiting to do the resection until week 12 of therapy and will begin
chemotherapy; you recognize that radiotherapy will not be necessary if the tumor is
completely resected at week 12 of therapy.","Local control of Ewing sarcoma is generally done after chemotherapy has started. Radiotherapy
is not necessary if a complete resection is done after the initiation of chemotherapy. This
contrasts with rhabdomyosarcoma therapy, in which radiotherapy is recommended for most
patients following delayed primary resection.",100mcq's
Sarcomas,"You are treating a patient with localized osteosarcoma of the distal femur with methotrexate,
doxorubicin, and cisplatin (MAP) chemotherapy. At week 10 of treatment, the patient
undergoes complete resection of the tumor. Pathology demonstrates 40% necrosis.
Which of the following represents the most appropriate further therapy?
A. Ifosfamide and etoposide (IE)
B. MAP plus ifosfamide and etoposide (MAPIE)
C. Gemcitabine docetaxel
D. MAP
E. Sorafenib",D. MAP,"Percent necrosis at the time of resection of osteosarcoma has prognostic importance with less
than 90% necrosis considered unfavorable. However, a large randomized trial did not show
benefit of intensifying MAP therapy with IE (MAPIE). In fact, patients treated with MAPIE had
more toxicity, including some evidence for more secondary malignancies. Although all of the
regimens listed on the question have activity in osteosarcoma, there is not evidence at this time
that switching from MAP to any of them after resection benefits the patient. The failure-free
survival for patients with poor necrosis treated with MAP is approximately 50%. It is generally
recommended to continue therapy with MAP.",100mcq's
Sarcomas,"You are discussing prognosis with the mother of a patient with stage 3, group III
rhabdomyosarcoma.
Which of the following is the most unfavorable primary site?
A. Extremity
B. Prostate
C. Infratemporal fossa
D. Neck
E. Biliary tree",A. Extremity,"The biliary tree and neck are favorable primary sites. The extremity, prostate, and infratemporal
fossa are unfavorable primary sites. The least favorable of these sites is consistently the
extremity.",100mcq's
Sarcomas,"A 12-year-old patient has been referred to you following complete resection with clean
margins of a high-grade malignant peripheral nerve sheath tumor of the shoulder region. The
tumor measured approximately 4 cm in greatest dimension. A CT scan of the chest and a
bone scan were within normal limits. The patient does not have evidence of
neurofibromatosis type 1 (NF1).
Which of the following treatment approaches would you recommend?
A. Chemotherapy with doxorubicin and ifosfamide
B. Radiotherapy
C. Chemotherapy with doxorubicin and ifosfamide plus radiotherapy
D. Observation",D. Observation,"Optimal therapy for non-rhabdomyosarcoma soft tissue sarcomas remains controversial. The
benefit of chemotherapy has been difficult to show. Important prognostic factors include size (?
or > 5 cm), grade, and resectability (Group). Generally, patients with small tumors (? 5 cm) that
are completely resected are observed without further therapy. Radiotherapy is used in the setting
of either microscopic or gross residual disease. Chemotherapy, usually with doxorubicin and
ifosfamide, is given to patients with large (> 5 cm), high grade, unresectable tumors of some
histologic subtypes. Malignant peripheral nerve sheath tumor is not considered very
chemotherapy sensitive.",100mcq's
Acute and Chronic Myelogenous Leukemia,"You have a new 7-year-old female patient with a WBC count of 6,000/mm3, hemoglobin of
7.2 g/dL, and platelet count of 30,000/mm3. A bone marrow aspirate reveals 14% blasts with
a monocytic morphologic appearance that are surface marker positive for CD33. You receive
a call from the fluorescence in situ hybridization (FISH) lab that the bone marrow is positive
for KMT2A rearrangement in 68% of cells. Your staff asks whether this represents a
diagnosis of acute leukemia in the current classification scheme for this type of hematologic
malignancy.
What would you say?
A. No, because for a diagnosis of acute leukemia you must have 30% or more blasts in the
marrow.
B. No, because for a diagnosis of acute leukemia you must have 20% or more blasts in the
marrow.
C. No, because the cytogenetics do not include +21, monosomy 7, or trisomy 8.
D. Yes, because the morphology is monocytic.
E. Yes, because the FISH is positive for KMT2A rearrangement.","E. Yes, because the FISH is positive for KMT2A rearrangement.","The patient has a myeloid neoplasm by virtue of the presenting histochemical findings and cell
surface markers. The current classification (ie, World Health Organization [WHO]) uses a
minimum of 20% blasts in the marrow for a designation of acute myeloid leukemia (AML)
versus myelodysplastic syndrome if there are fewer than 20% blasts. In the old French-
American-British classification scheme, this cutoff had been 30% or more for a diagnosis of
AML. A crucial feature of the WHO classification is that a patient need not have 20% blasts in
the marrow for a diagnosis of AML if they have one of a growing list of AML-defining recurrent
genetic abnormalities detected by conventional karyotype, fluorescence in situ hybridization
(FISH), or molecular profiling. These include translocations involving the KMT2A gene at
chromosome 11q23, formerly known as MLL. The most common translocation in AML is the
t(9;11)(p21.3;q23.3), which results in the MLLT3-KMT2A fusion protein.",100mcq's
Acute and Chronic Myelogenous Leukemia,"A 13-year-old Hispanic girl is found to have a WBC count of 6,500/mm3 with 40% Auer
rod–containing granular blasts that, by flow cytometry, express very bright CD33 but are
negative for human leukocyte antigen–DR isotype (HLA-DR). She is oozing blood around
her peripheral IV site. Coagulation studies reveal an international normalized ratio (INR) of
3.4, a fibrinogen of 170, and a markedly elevated D-dimer. Marrow aspirate shows nearly
90% blasts with a similar morphology. You send the marrow to the fluorescence in situ
hybridization (FISH) lab and request STAT testing for the most likely recurrent genetic
abnormality based on the clinical presentation.
How do you plan to initiate therapy?
A. Perform a lumbar puncture to determine leukemic involvement, then proceed with
induction chemotherapy.
B. Begin therapy with all-trans retinoic acid (ATRA) immediately while aggressively
managing coagulopathy with blood product support.
C. Start dexamethasone and hydroxyurea immediately while aggressively managing
coagulopathy with blood product support.
D. Start induction chemotherapy, obtain HLA typing, and start a donor search because of the
poor prognosis associated with this leukemic phenotype.
E. Refer the patient immediately for leukapheresis because of her severe coagulopathy.","Begin therapy with all-trans retinoic acid (ATRA) immediately while aggressively
managing coagulopathy with blood product support.","This case represents a likely diagnosis of acute promyelocytic leukemia (APL; M3 in the French-
American-British classification; characterized in most cases by t(15;17) PML-RARA fusion),
which has an overall favorable prognosis because of its high event-free survival rates with alltrans
retinoic acid (ATRA); arsenic trioxide; and, in high-risk cases, chemotherapy. Thus, stem
cell transplant is not indicated in first remission. If the white blood cell count had been greater
than 10,000/mm3 at diagnosis, this would define a higher-risk APL rather than lower risk, in
which case cytotoxic therapy with either idarubicin or gemtuzumab would be indicated in
addition to ATRA and arsenic trioxide to reduce the risk of differentiation syndrome. Recent
data have indicated that prolonged remissions may be possible in lower-risk cases with ATRA
and arsenic trioxide alone. Coagulopathy due to disseminated intravascular coagulation is present
77
in a high percentage of patients with APL, and therefore this should be evaluated before
performing a lumbar puncture to avoid the risk of bleeding. Also, central nervous system disease
is rare in APL.",100mcq's
Acute and Chronic Myelogenous Leukemia,"A 13-year-old girl presents with acute myeloid leukemia (AML) and a WBC count of
120,000/mm3. Cytogenetics reveals a normal karyotype, and fluorescence in situ
hybridization (FISH) tests for inv(16), t(8;21), t(15;17); 11q23 abnormalities; monosomy 7;
and 5q deletion are negative. Molecular testing is negative for mutations in FLT3, NPM1,
and CEBPA. She is treated with 10 days of daunorubicin, AraC, and gemtuzumab for
induction therapy. On day 30, she recovers counts, and a bone marrow aspiration shows 2.2%
leukemic blasts by flow cytometry. She receives a second course of treatment with
daunorubicin and AraC, and her marrow is now in morphologic remission and is MRDnegative
by flow cytometry. She has no HLA-matched siblings, but an unrelated donor
search reveals a large number of potential matches.
Which course of treatment is most likely to result in the best outcome?
A. Give two more courses of intensification chemotherapy.
B. Perform an autologous hematopoietic stem cell transplant (HSCT).
C. Give one more course of intensification chemotherapy and then perform a matched
unrelated donor HSCT.
D. Give one more course of intensification chemotherapy and then 1 year of maintenance
chemotherapy.","C. Give one more course of intensification chemotherapy and then perform a matched
unrelated donor HSCT.","Patients with neither favorable nor unfavorable genetics who have residual leukemia after the
first induction course have been shown to have a high risk of relapse with chemotherapy alone.
Allogeneic hematopoietic stem cell transplant (HSCT) is likely the optimal therapy in this
setting. Continuing chemotherapy alone will be very unlikely to result in cure, and maintenance
chemotherapy is not a component of most AML treatment protocols. Similarly, autologous
HSCT is also unlikely to provide a curative approach to therapy because of the potential for
contaminating leukemia cells in the graft and the lack of a graft versus leukemia effect. Because
it will take time to arrange an unrelated allogeneic donor, giving another course of chemotherapy
to maintain remission followed by HSCT would be the best of the available treatments.",100mcq's
Acute and Chronic Myelogenous Leukemia,"An 18-year old male patient presents with bruising, fatigue, and diffuse extremity pain. He is
noted to be tachypneic and hypoxic and has a diffuse interstitial infiltrate on chest x-ray.
CBC reveals a WBC count of 285,000/mm3 (85% myeloblasts, with monocytic
morphology), hemoglobin of 7.9 g/dL, and platelet count of 36,000/mm3.
What is the most likely cause of the infiltrate and respiratory symptoms and the most
appropriate initial treatment?
A. Hyperleukocytosis; initiation of induction chemotherapy
B. Hyperleukocytosis; leukapheresis or manual exchange transfusion and initiation of
induction chemotherapy
C. COVID-19 infection; convalescent plasma and prednisone
D. Pneumococcal pneumonia; vancomycin
E. Reactive airway disease; prednisone and albuterol","B. Hyperleukocytosis; leukapheresis or manual exchange transfusion and initiation of
induction chemotherapy","WBC counts greater than 100,000/mm3 are associated with the clinical syndrome of
hyperleukocytosis, especially when the cause of the elevated WBC count is acute myeloid
leukemia. Clinical features of hyperleukocytosis can include central nervous system (CNS)
findings (eg, lethargy, focal neurological deficits, intracranial bleeding, hemorrhagic stroke),
respiratory findings (tachypnea, dyspnea, hypoxia, and diffuse interstitial infiltrates), and renal
dysfunction (often complicated by concomitant tumor lysis syndrome). The pathophysiology of
hyperleukocytosis includes increased viscosity of blood and resultant congestion within the
capillary beds of the affected organs. Hyperleukocytosis is an acute medical emergency that
requires immediate “debulking” of the circulating tumor burden, which is best accomplished by
manual exchange transfusion or by leukapheresis. Initiation of chemotherapy should proceed as
soon as possible but should not be the first step in management. The other choices are less likely
in the clinical scenario presented.",100mcq's
Biostatistics and Epidemiology,"In a study to investigate the rates of central line–acquired bacterial infections, it is discovered
that patient length of stay (LOS) is not normally distributed but is highly right-skewed.
What is the correct relationship between the mean, median, and mode of LOS?
A. The mean is less than the median but greater than the mode.
B. The mean is equal to the median and the mode.
C. The mean is greater than the median and mode.
D. The mean and median will both be less than the mode.
E. The mean is greater than the median but less than the mode.",C. The mean is greater than the median and mode.,"When data are normally distributed, the mean, median, and mode will all be about the same. This
will look like a symmetric distribution of the data. In such cases, “typical” measures can be
described by the mean or median or even the mode, for that matter. When the data are skewed
right (ie, has a long tail to the right), however, the mean is easily influenced by the extreme
values and will be greater than the median and mode. This suggests that the mean is not a very
good measure of what is “typical” when the data are right-skewed. When the data are leftskewed,
the mean will be less than the median and also will not be ideal for describing “typical”
results. When the data are skewed (right or left), the median will be preferable to the mean.",100mcq's
Biostatistics and Epidemiology,"A study is designed to investigate the rates of central line–associated blood stream infections
among pediatric hematology/oncology patients. Three common central line types (totally
implanted catheter [port], peripherally inserted central catheter [PICC], and tunneled
externalized catheter [TEC]) were included in the study.
What data structure is central line type?
A. Continuous
B. Dichotomous
C. Nominal
D. Ordinal
E. Survival",C. Nominal,"Because the central line type consists of three finite categories—port, PICC, and TEC—which
have no inherent ordering, the correct answer is C, nominal. Continuous measures can take on
any value within a specified interval. Survival data record the time to a specific event and,
depending on the unit of time, are often treated as continuous data. Nominal data can assume
only finite categories that do not have an inherent numerical ordering. Central line type in this
question is this type of data because there are three categories that have no numerical
relationship. Dichotomous data are a special case of nominal data in which the data have only
two categories. Ordinal data also are categorical, but the levels of the categories enjoy some
numerical association such as education level or income level.",100mcq's
Biostatistics and Epidemiology,"A study is designed to investigate the rates of central line–associated blood stream infections
(CLABSI) among pediatric hematology/oncology patients. Investigators wish to compare the
length of stay (LOS) between subjects receiving three common central line types (totally
implanted catheter [port], peripherally inserted central catheter [PICC], and tunneled
externalized catheter [TEC]). It is discovered that LOS is not normally distributed.
What is the appropriate test for comparing the LOS between patients receiving the three
central line types?
A. Student’s t test
B. ANOVA
C. Wilcoxon-Mann-Whitney test
D. Kruskal-Wallis test
E. Chi-square test",D. Kruskal-Wallis test,"Length of stay (LOS) is typically a continuous variable, indicating that the type of test must be
appropriate for that type of data. This rules out the chi-square test, which is specific for
categorical data comparisons. We further learn the investigators wish to compare LOS between
three groups of patients. This would suggest that the appropriate test is either ANOVA, if the
data are normally distributed, or Kruskal-Wallis, if not. This is because Student’s t test and the
Wilcoxon-Mann-Whitney test are indicated for comparisons of two groups. Because we
additionally learn the data are not normally distributed, the appropriate test will be the Kruskal-
Walli test.",100mcq's
Bone Marrow Failure,"You examine a 10-year-old boy with severe aplastic anemia. He has no dysmorphic features
and is at the 50th percentile for height and weight. Family history includes a sister with
aplastic anemia unresponsive to anti-human thymocyte globulin (ATG) and cyclosporine
who died early in the course of an unrelated donor hematopoietic stem cell transplant
complicated by severe mucositis and transplant-related organ toxicities. There are no other
siblings. A cousin died of acute myeloid leukemia at age 5 years. A peripheral blood sample
test for Fanconi anemia is negative with no increased chromosomal breaks in response to
diepoxybutane or mitomycin C.
Which of the following is the most important next step in management?
A. Administer ATG and cyclosporine.
B. Search for a donor for matched unrelated transplant.
C. Send a bone marrow aspirate for Fanconi anemia testing.
D. Send a skin fibroblast culture for Fanconi anemia testing.
E. Start oral therapy with oxymetholone.",D. Send a skin fibroblast culture for Fanconi anemia testing.,"A family history of a sibling with aplastic anemia and a cousin with pediatric acute myeloid
leukemia raises the possibility of an inherited bone marrow failure syndrome (IBMFS) even in
the absence of other clinical stigmata such as congenital anomalies. The significant transplantrelated
toxicity experienced by the sibling is suggestive of an IBMFS such as Fanconi anemia. A
reduced-intensity transplant conditioning regimen would be indicated for a patient with Fanconi
anemia. Peripheral blood tests for Fanconi anemia may be negative if the lymphocytes have
reverted to wild type (somatic mosaicism). The gold standard to establish the diagnosis of
Fanconi anemia or conclusively exclude it in this situation is to test skin fibroblasts. There is no
advantage to testing the bone marrow aspirate for chromosomal breakage because somatic
mosaicism also has been reported in the hematopoietic cells, and chromosomal breakage assays
have not been standardized for marrow samples. Patients with Fanconi anemia typically fail to
respond to anti-human thymocyte globulin and cyclosporine therapy for aplastic anemia.
Oxymetholone is commonly used to support blood counts in Fanconi anemia patients but should
not be considered until a diagnosis is confirmed and transplant options considered.",100mcq's
Bone Marrow Failure,"A 5-year-old girl with a previously normal CBC now presents in your office with a
hemoglobin of 8.5 g/dL, corrected reticulocyte count of 0.1%, and mean corpuscular volume
of 80 fl. White cells and platelets are normal in number and morphology. Bilirubin, LDH,
BUN, creatinine, and urinalysis are normal. Direct and indirect antiglobulin tests are
negative. Workup for infection, including parvovirus, is negative. Occult blood in her stools
is negative. Physical examination is unremarkable. She has had no restriction in her energy or
activities and the family agrees she is “fine.”
What is the most appropriate next step in management?
A. Administer erythropoietin.
B. Initiate a red cell transfusion.
C. Observe serial hemoglobin values closely.
D. Prescribe oral iron supplement.
E. Send red cell adenosine deaminase (eADA).",C. Observe serial hemoglobin values closely.,"This patient has normocytic red cell aplasia, the most common causes of which are Diamond-
Blackfan anemia (DBA) and transient erythroblastopenia of childhood (TEC). DBA, which is
often associated with an elevated erythrocyte adenosine deaminase level, typically presents in
infancy with macrocytic red cell aplasia but may present in adulthood with normalization of the
mean corpuscular volume (MCV) for age. TEC typically presents at an older age than DBA, and
the MCV is typically normal. In an asymptomatic patient, transfusion may be deferred at this
hemoglobin level. Thus, this patient is most likely to have TEC, and close clinical observation of
her blood counts (and clinical status) for the need for a transfusion is the indicated management.
An eADA may help to clarify your thinking that this is TEC, but likely, by the time you have the
result, blood counts will have recovered and it will be unnecessary. Close observation will still
be required. Erythropoietin levels are typically already high with red cell aplasia, and additional
82
exogenous dosing is not beneficial. Although she is anemic, the MCV does not demonstrate
microcytosis, which should predate the anemia if the cause were iron insufficient hematopoiesis.",100mcq's
Bone Marrow Failure,"A 5-year-old girl with a previously normal CBC now presents in your office with a
hemoglobin of 8.5 g/dL, corrected reticulocyte count of 0.1%, and mean corpuscular volume
of 80 fl. White cells and platelets are normal in number and morphology. Bilirubin, LDH,
BUN, creatinine, and urinalysis are normal. Direct and indirect antiglobulin tests are
negative. Workup for infection, including parvovirus, is negative. Occult blood in her stools
is negative. Physical examination is unremarkable. She has had no restriction in her energy or
activities and the family agrees she is “fine.”
What is the most appropriate next step in management?
A. Administer erythropoietin.
B. Initiate a red cell transfusion.
C. Observe serial hemoglobin values closely.
D. Prescribe oral iron supplement.
E. Send red cell adenosine deaminase (eADA).",A. CXCR4,"This patient has isolated neutropenia, with associated infections, and warts. While all of the
genes listed are associated with an inherited bone marrow failure syndrome (IBMFS) with
neutropenia, the one associated with myeloid hyperplasia of the marrow is CXCR4, which is
mutated in myelokathexis/WHIM syndrome. In WHIM syndrome (neutropenia with warts,
hypogammaglobulinemia, infections, and myelokathexis), autosomal dominant mutations in
CXCR4 cause a gain of function defect that results in a limitation of down regulation after
stimulation. Granulocyte colony stimulating factor (G-CSF) ameliorates the neutropenia and
apoptosis as well as the hypogammaglobulinemia that accentuates the infections seen in the
disorder. While ELANE, which is mutated in many of the congenital neutropenia syndromes and
SBDS in Shwachman-Diamond syndrome, cause neutropenia and will respond to G-CSF, they
are not associated with warts or a hypercellular marrow unless malignant transformation has
occurred. Mitochondrial DNA mutations are seen in Pearson syndrome in association with
vacuolated marrow precursors and ringed sideroblasts (the later are absent here), usually in a
patient with a history of metabolic disturbances, exocrine pancreatic dysfunction, and
thrombocytopenia. The neutropenia of Pearson syndrome is not usually severe enough to require
G-CSF when the patient is otherwise well. GATA 2 mutations are associated with MonoMAC
syndrome (among others) whose hallmarks are monocytopenia, recurrent mycobacterial
infection, and warts).",100mcq's
Bone Marrow Failure,"You are consulting on a 10-year-old male with severe persistent neutropenia, a history of
recurrent infections, and warts. The rest of the peripheral blood count is normal. His mother
also has neutropenia. Bone marrow examination shows a hypercellular marrow and retained
myeloid cells with vacuolated cytoplasm. There are no abnormalities in the red cells or
platelet precursors. Cytogenetics are 46XY. You start granulocyte colony stimulating factor
therapy and the neutrophil count increases.
A mutation in which of the following genes is most likely to have caused this familial
inherited bone marrow failure syndrome?
A. CXCR4
B. ELANE
C. GATA 2
D. Mitochondrial DNA
E. SBDS",B. Skin fibroblasts to evaluate the ETV6 gene,"The correct sample to analyze for a leukemia predisposition syndrome is cultured skin
fibroblasts, making answer choices C and D incorrect. Buccal swabs may contain peripheral
blood mononuclear cells, which circulate throughout the mucosa and are also found in saliva.
These blood mononuclear cells may provide false positive results, particularly in a patient who is
newly diagnosed with leukemia and may have circulating blasts. The correct gene to explain this
patient’s phenotype is ETV6, making answer B correct. Thrombocytopenia 5, which is caused by
germline pathogenic variants in ETV6, is the most common leukemia predisposition syndrome
linked to pre-B acute lymphoblastic leukemia (ALL) with a preceding history of mild
thrombocytopenia. Li-Fraumeni syndrome, caused by pathogenic variants in TP53, is associated
with development of low hypodiploid pre-B ALL, and typically the family history is positive for
solid tumors, not thrombocytopenia. Pathogenic variants in RUNX1 cause familial platelet
disorder with associated myeloid malignancy and are much more commonly associated with the
development of acute myeloid leukemia (AML) than ALL.",100mcq's
Bone Marrow Failure,"You are consulted on a 4-year-old girl who is newly diagnosed with standard-risk pre-B
acute lymphoblastic leukemia. After reviewing her previous complete blood examinations,
you note she has had a platelet count ranging from 80,000 to 100,000 cells/mcL over the past
2 years. Her father mentions that he has also been told he has mild thrombocytopenia. You
suspect the child may have a cancer predisposition syndrome.
Which sample should you send for analysis, and which gene is most likely implicated?
A. Skin fibroblasts to evaluate the RUNX1 gene
B. Skin fibroblasts to evaluate the ETV6 gene
C. Buccal swab to evaluate the RUNX1 gene
D. Buccal swab to evaluate the ETV6 gene
E. Skin fibroblasts to evaluate the TP53 gene",D. Nephroblastoma,"The pediatrician has described a child with Beckwith-Wiedemann syndrome (BWS), which
carries an increased risk for hepatoblastoma and nephroblastoma (Wilms’ tumor), making
answer choice D the correct answer. Pleuropulmonary blastoma occurs in patients with DICER1
syndrome, making option A incorrect. Patients with BWS do not develop hepatocellular
carcinoma, making option B incorrect. Cystic nephromas develop in patients with DICER1
syndrome, making choice C incorrect. Pheochromocytomas occur in patients with BWS
exceedingly rarely, therefore the child is most at risk for developing Wilms’ tumor, making
option E incorrect.",100mcq's
